Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1989,2.65,2.5,4.01,2.7,7.71,5.75,5.99,0.76,3.14,4.73,2.68,1.72,44.34
1990,3.14,1.65,2.78,5.06,4.37,1.77,5.42,5.56,1.49,6.53,2.56,5,45.33
1991,2.67,0.81,5.16,1.8,1.51,6.58,2.64,0.99,3.25,1.37,2.7,4.54,34.02
1992,2.13,2.26,3.23,3.15,3.82,2.88,7.23,1.33,5.55,2.81,5.24,4.73,44.36
1993,2.72,2.74,7.65,5.62,2.85,1.77,2.06,4.68,4.66,2.15,6.28,3.78,46.96
1994,4.12,3.61,6.71,1.71,3.19,5.82,5.75,4.62,3.4,1.05,1.86,2.42,44.26
1995,4.18,1.8,1.39,2.14,5.13,3.25,4.24,2.02,2.74,6.51,4.75,2.05,40.2
1996,5.61,2.62,3.52,3.69,7.07,4.88,5.89,4.16,7.72,3.97,3.75,5.21,58.09
1997,2.16,2.16,4.78,2.18,2.87,2.36,1.38,5.32,3.16,2.75,5.48,1.92,36.52
1998,5.43,5.83,5.6,2.92,4.52,5.87,1.31,0.44,1.25,1.5,1.21,1.53,37.41
1999,5.39,2.62,3.44,2.68,2.22,3,2.56,5.43,9.32,2.55,1.72,2.67,43.6
2000,2.5,1.92,3.35,4.36,2.57,4.02,4.28,5.92,4.2,0.06,1.57,2.06,36.81
2001,2.54,1.68,4.14,2.15,5.68,4.83,4.24,4.52,3.39,1.42,0.81,1.56,36.96
2002,1.22,0.46,3.48,3.45,4.73,3.61,2.64,2.91,2.84,5.04,4.13,3.61,38.12
2003,2.69,6.27,3.69,2.71,8.71,8.33,6.06,5.55,7.26,4.63,5.2,4.57,65.67
2004,1.41,1.93,2.05,5.04,3.06,3.73,3.72,3.79,5.8,1.04,4.11,3.01,38.69
2005,3.14,1.41,3.93,4.34,4.86,1.92,7.85,2.32,0.15,9.22,2.49,2.92,44.55
2006,2.39,2.38,0.07,4.86,1.8,11.79,2.45,1.24,7.12,4.82,5.31,1.74,45.97
2007,2.11,2.54,2.93,3.38,0.34,2.92,1.75,1.67,1.4,3.52,1.49,2.97,27.02
2008,1.26,2.67,2.47,6.22,9.38,4.21,2.18,2.48,7.18,1.31,2.01,2.61,43.98
2009,2.64,0.35,2.41,4.12,10.26,6.69,2.18,2.75,1.83,5.7,3.71,5.98,48.62
2010,2.01,4.63,3.36,1.29,5.42,1.29,4.17,4.42,6.16,2.38,2.5,1.47,39.1
2011,1.87,2.21,5.07,5.21,3.28,1.4,2.58,3.74,7.93,6.27,2.18,4.46,46.2
2012,1.85,2.24,1.52,1.82,5.38,1.79,2.43,3.02,2.71,8.88,1.12,2.87,35.63
2013,3.7,1.63,3.16,2.3,3.2,4.64,7.27,1.95,1.61,7.51,2.79,5.58,45.34
2014,2.69,3.81,4.1,7.41,6.34,4.62,2.09,5.15,0.93,3.01,2.66,3.26,46.07
2015,3.26,1.76,3.92,2.46,2.46,7.44,4.89,1.09,2.33,3.95,2.06,3.76,39.38
2016,4.47,3.79,1.45,1.88,6.08,6.35,3.02,0.96,2.55,0.65,1.77,2.36,35.33
2017,2.73,0.71,4.12,3.04,8.49,1.28,8.8,3.83,1.75,3.15,1.99,0.77,40.66
2018,1.79,4.6,1.79,3.55,8.92,4.17,11.21,7.23,7.36,2.68,7.68,5.76,66.74
2019,3.96,3.5,4.55,2.82,5.05,2.44,2.73,4.79,0.41,5.97,1.62,2.97,40.81
2020,3.33,3.24,1.99,5.56,2.4,5.21,4.85,7.64,2.29,3.54,3.61,5.81,49.47
2021,1.88,4.28,2.27,2.28,2.87,3.65,2.43,4.93,4.72,4.28,0.91,0.46,34.96
2022,3.9,2.3,1.92,2.25,6.85,2.75,5.23,2.3,3.28,2.24,2.79,4.95,40.76
2023,1.36,2.27,1.57,3.3,1.48,2.3,5.09,1.85,6.65,0.67,2.49,5.75,34.78
2024,6,1.45,3.89,1.74,4.22,0.69,2.66,5.13,3.27,0.13,M,M,M
